,lemma,en,type,pos,de,note
546,jeɣpɣ,_,stem,_,_,_
547,jeːman,large kettle,stem,Substantive,großer Kessel,_
548,jeːmt,become,stem,Verb,werden,Balandin-Vakhusheva 27;  Munkácsi-Kálmán 154; Kálmán 1963 (ChrVog) 79
549,jeːrxat,swear,stem,Verb,schimpfen,_
550,jilʲpi,new,stem,Adjective,neu,_
551,jirxat,sacrify,stem,Verb,opfern,_
552,jis,_,stem,_,_,_
553,jis,old,stem,Adjective,alt,_
554,jis,age,stem,Substantive,Zeitalter,_
555,jisum,_,stem,_,_,_
556,jiw,come,stem,Verb,kommen,_
557,jiw,tree,stem,Substantive,Baum,_
558,jiːw,wood,stem,Substantive,Holz,_
559,jiːw sup,piece of wood,phrase,Substantive,Holzstück,_
560,jiːwtʲilʲ,Ivdel,stem,Proper Noun,Ivdel,_
561,joht,_,stem,_,_,_
562,jol lonʲxat,slide,phrase,Verb,rutschen,_
563,jol lʲulʲ,stand below sth ,phrase,Verb,unter etw. stellen,_
564,jol lʲuːlʲ,stop,phrase,Verb,stehenbleiben,_
565,jol neːɣsal,tie up,phrase,Verb,anbinden,_
566,jol ojilmat,fall asleep,phrase,Verb,einschlafen,_
567,jol pat,fall,stem,Verb,herabfallen,_
568,jol patt,let fall,phrase,Verb,fallen lassen,_
569,jol pojt,_,phrase,_,_,_
570,jol raɣat,fall,phrase,Verb,fallen,_
571,jol rotm,calm down,phrase,Verb,ruhig werden,_
572,jol saːɣr,chop down,phrase,Verb,fällen,_
573,jol sʲalt,dive down,phrase,Verb,hinabtauchen,_
574,jol sʲelt,throw down,phrase,Verb,herunter werfen,_
575,jol sʲurat,flow,phrase,Verb,strömen,_
576,jol uːnt,sit down,phrase,Verb,sich niedersetzen,_
577,jol waːɣl,descend,phrase,Verb,herabsteigen,_
578,jol xuj,lie down,phrase,Verb,hinlegen,_
579,jol xujiɣp,_,stem,_,_,_
580,jol xujiɣpaːl,_,phrase,_,_,_
581,jol xujəɣp,lie down,stem,Verb,sich niederlegen,_
582,jol xujəɣpaːl,lie down,phrase,Verb,sich hinlegen,_
583,jol=,down,proclitic,Preverb,herab,_
584,jola pojt,_,stem,_,_,_
585,jola poniɣt,press down,phrase,Verb,nieder drücken,_
586,jola poriɣm,jump off,phrase,Verb,herunter hüpfen,_
587,jola poːjt,stop,phrase,Verb,aufhören,
588,jola uːnt,_,phrase,_,_,_
589,jola=,_,proclitic,_,_,_
590,jolal,_,stem,_,_,_
591,jolal ji,come down,phrase,Verb,fallen,_
592,jolalʲ,downwards,stem,Adverb,hinunter,_
593,jolalʲ sulʲɣ,trickle,phrase,Verb,rieseln,_
594,jolalʲ sulʲɣalt,scatter from above,phrase,Verb,herab streuen,_
595,jolalʲ taːrtal,let down,phrase,Verb,hinunterlassen,_
596,jolalʲ xuntl,look downwards,phrase,Verb,hinunterschauen,_
597,jolalʲ=,downwards,proclitic,Preverb,hinunter,_
598,joli,under,stem,Adjective,untere,_
599,jolimt,defeat,stem,Verb,besiegen,_
600,jolt,decree,stem,Verb,verordnen,_
601,jolən,below,stem,Adverb,unten,_
602,jom,_,stem,_,_,_
603,jom,_,stem,_,_,_
604,jomant,_,stem,_,_,_
605,jomas,good,stem,Adjective,gut,Balandin-Vakhusheva 30;  Munkácsi-Kálmán 170; Kálmán 1963 (ChrVog) 80
606,jomas uːləm,good-bye,phrase,Interjection,auf Wiedersehen,_
607,jomasakʷe,_,stem,_,_,_
608,jomasʲ,_,stem,_,_,_
609,jomasʲakʷ,thoroughly,stem,Adverb,gründlich,M&K 171a
610,jomiɣt,_,stem,_,_,_
611,jomsʲakʷ,_,stem,_,_,_
612,jonɣ,play,stem,Verb,spielen,_
613,jonɣas,amuse oneself,stem,Verb,sich amüsieren,B/V 30b
614,jor,_,stem,_,_,_
615,josa,ski,stem,Substantive,Ski,_
616,jot,with,stem,Postposition,mit,Balandin-Vakhusheva 31;  Munkácsi-Kálmán 179; Kálmán 1963 (ChrVog) 80
617,jot min,go along,phrase,Verb,mitgehen,_
618,jot tot,carry with oneself,phrase,Verb,mit sich mitnehmen,_
619,jot=,with ,proclitic,Preverb,mit,Balandin-Vakhusheva 31;  Munkácsi-Kálmán 179; Kálmán 1963 (ChrVog) 80
620,jotəl,afterwards,stem,Adjective,danach,_
621,jowt,bow,stem,Substantive,Bogen,M&K 180a
622,joxt,arrive,stem,Verb,ankommen,Balandin-Vakhusheva 31;  Munkácsi-Kálmán 164; Kálmán 1963 (ChrVog) 79
623,joxtiɣp,arrive,stem,Verb,ankommen,_
624,joxtl,_,stem,_,_,_
625,joxtəɣp,_,stem,_,_,_
626,joxul,common dace,stem,Substantive,Hasel (Leuciscus leuciscus),_
627,joŋ,_,stem,_,_,_
628,joŋx,_,stem,_,_,_
629,joŋxiɣp,turn towards,stem,Verb,sich entgegen wenden,_
630,joːl patt,_,phrase,_,_,_
631,joːm,go on foot,stem,Verb,gehen,Balandin-Vakhusheva 30;  Munkácsi-Kálmán 171; Kálmán 1963 (ChrVog) 80
632,joːmant,go,stem,Verb,gehen,B/V 30a
633,joːmas,step,stem,Verb,treten,_
634,joːmiɣt,walk around,stem,Verb,spazieren,ESkr
635,joːmliɣt,take a step,stem,Verb,einen Schritt tun,_
636,joːmliɣtaːl,pace,stem,Verb,langsam schreiten,_
637,joːmtaxt,set off,stem,Verb,aufbrechen,_
638,joːr,strenght,stem,Substantive,Kraft,_
639,joːrn kol,tent,phrase,Substantive,Zelt,_
640,joːrən,Samoyede,stem,Proper Noun,Samojede,_
641,joːsuːj,golden eagle,stem,Substantive,Steinadler,M-K 183a
642,joːwt,_,stem,_,_,_
643,joːxt,_,stem,_,_,_
644,joːŋx,turn round,stem,Verb,sich umdrehen,Balandin-Vakhusheva 30;  Munkácsi-Kálmán 172; Kálmán 1963 (ChrVog) 80
645,jugra maː,Yugria,phrase,Proper Noun,Jugorien,_
646,jugu,[Ru. State University of Yugra (YuGU)],stem,Proper Noun,[Ru. Staatsuniversität Jugra (JuGU)],_
647,juipalt,_,stem,Postposition,_,_
648,juji owlt,_,stem,_,_,_
649,juji paːlt,after,phrase,Postposition,danach,_
650,jujil,_,stem,_,_,_
651,jujioːwəlt,finally,phrase,Adverb,letztlich,_
652,jujipaːlt,_,phrase,_,_,_
653,jujəl,back,stem,Adverb,hinten,_
654,jul al,kill,phrase,Verb,töten,_
655,jul=,_,proclitic,_,_,_
656,jun,at home,stem,Adverb,zu Hause,Balandin-Vakhusheva 150;  Munkácsi-Kálmán 182; Kálmán 1963 (ChrVog) 80
657,junesko,[En. UNESCO],stem,Proper Noun,[En. UNESCO],_
658,junit,hit,stem,Verb,schlagen,M-K 182 b
659,juniɣt,_,stem,_,_,_
660,juntup,_,stem,_,_,_
661,junəɣt,beat,stem,Verb,schlagen,_
662,junɣt,_,stem,_,_,_
663,jursʲ,team up,stem,Verb,sich zusammentun,_
664,jurt,friend,stem,Substantive,Freund,M-K 185a
665,juw,_,stem,_,_,_
666,juw,_,stem,_,_,_
667,juw aj,drink up,phrase,Verb,austrinken,_
668,juw ajnat,escape,phrase,Verb,entkommen,_
669,juw joxt,come back,phrase,Verb,zurück kommen,"Munkácsi-Kálmán, 180b;"
670,juw joŋ,to turn,phrase,Verb,sich drehen,_
671,juw joŋxiɣp,turn towards,phrase,Verb,sich entgegenwenden,_
672,juw keːt,send,phrase,Verb,senden,_
673,juw min,go inside,phrase,Verb,hineingehen,_
674,juw miːn,go inside,phrase,Verb,hineingehen,_
675,juw narumt,push away,phrase,Verb,wegschieben,_
676,juw nejəl,appear,phrase,Verb,erscheinen,_
677,juw oj,escape,phrase,Verb,entfliehen,_
678,juw poːs,drive back,phrase,Verb,zurücklenken,_
679,juw raɣ,fall,phrase,Verb,fallen,_
680,juw raɣat,get,phrase,Verb,hinkommen,_
681,juw sʲalt,enter the house,phrase,Verb,ins Haus eintreten,"Munkácsi-Kálmán, 180b"
682,juw sʲaltap,_,phrase,_,_,_
683,juw sʲaltep,enter,phrase,Verb,eintreten,_
684,juw taːrat,let,phrase,Verb,lassen,_
685,juw tot,bring home,phrase,Verb,nachhause bringen,_
686,juw tuːl,bring into,phrase,Verb,hinein bringen,_
687,juw wow,call,phrase,Verb,rufen,_
688,juw xart,drag inside,phrase,Verb,hineinziehen,_
689,juw xassumtaxt,leap,phrase,Verb,hervorspringen,_
690,juw=,back,proclitic,Preverb,zurück,Balandin-Vakhusheva 148;  Munkácsi-Kálmán 180; Kálmán 1963 (ChrVog) 80
691,juwle,home,stem,Adverb,nach Hause,_
692,juwlʲe,_,stem,_,_,_
693,juː min,go inside,phrase,Verb,hinein gehen,_
694,juː poːs,drive back,phrase,Verb,zurück lenken,_
695,juː=,_,proclitic,_,_,_
696,juːntəp,needle,stem,Substantive,Nadel,_
697,kafʲedra,[Ru. chair],stem,Substantive,[Ru. Lehrstuhl],_
698,kaj,speak shaman spell,stem,Verb,Schamanenformel sprechen,M-K 187 b
699,kakre,torso,stem,Substantive,Oberkörper,_
700,kamka,fish weir,stem,Substantive,Fischreuse,_
701,kan,place,stem,Substantive,Platz,_
702,karaj,sturgeon,stem,Substantive,"Stör, Sterlet",_
703,karr,woodpecker,stem,Substantive,Specht,_
704,karsit,height,stem,Substantive,Höhe,K
705,karəs,high,stem,Adjective,hoch,M-K 194a
706,kasaj,knife,stem,Substantive,Messer,M-K 196b
707,kasal,_,stem,_,_,_
708,kassiɣ,in vain,stem,Adverb,umsonst,_
709,kastəl,to,stem,Postposition,bis,
710,kasəŋ,_,stem,_,_,_
711,kat,_,stem,_,_,_
712,katn-patt,_,phrase,_,_,_
713,kaːral,drill,stem,Verb,bohren,B/V 34a; M/K 193b
714,kaːrta,yard,stem,Substantive,Hof,M-K 196 a
715,kaːsal,catch sight,stem,Verb,erblicken,_
716,kaːsna,tax,stem,Substantive,Steuer,_
717,kaːsnakol,prison,stem,Substantive,Gefängnis,_
718,kaːsəŋ,every,stem,Determiner,jeder,_
719,kaːt,hand,stem,Substantive,Hand,Munk
720,kaːt xuːxnʲi,crook of the arm,phrase,Substantive,Armbeuge,_
721,kaːtpos,signature,stem,Substantive,Unterschrift,_
722,kaːtän pat,_,phrase,Verb,in die Hand bekommen,_
723,ke,if,particle,Particle,falls,Balandin-Vakhusheva 36;  Munkácsi-Kálmán 203; Kálmán 1963 (ChrVog) 81
724,keliɣ,_,stem,_,_,_
725,kelp,_,stem,_,_,_
726,kelɣ,swamp,stem,Substantive,Sumpf,_
727,kem,manner,stem,Particle,Art und Weise,_
728,ker,iron,stem,Substantive,Eisen,_
729,keras,"high ground, cliff",stem,Substantive,"steile Stelle, Felsen",_
730,keraskoləŋʲa,Keraskoləŋʲa,stem,Proper Noun,Keraskoləŋʲa,_
731,ket,_,stem,_,_,_
732,ketiɣl,delegate,stem,Verb,delegieren,_
733,keː,_,particle,_,_,_
734,keːliɣ,_,stem,_,_,_
735,keːlp,blood,stem,Substantive,Blut,_
736,keːlp sam,drop of blood,phrase,Substantive,Bluttropfen,_
737,keːm,energy,stem,Substantive,Kraft,_
738,keːm,_,stem,_,_,_
739,keːnt,cap,stem,Substantive,Mütze,_
740,keːr,iron,stem,Substantive,Eisen,_
741,keːr,put to work,stem,Verb,einspannen (zu arbeiten),_
742,keːrkʷaːliɣ,chain,stem,Substantive,Kette,_
743,keːrtxat,_,stem,_,_,_
744,keːrxat,harness,stem,Verb,einspannen,_
745,keːt,send,stem,Verb,schicken,
746,kim,breeding display,stem,Substantive,Balz,_
747,kins,search,stem,Verb,suchen,Munkácsi-Kálmán 213; Kálmán 1963 (ChrVog) 81
748,kis,bow,stem,Substantive,Bogen,_
749,kismaj,_,stem,_,_,_
750,kisxat,search around,stem,Verb,herumsuchen,"B&V 38a, M&K 213b"
751,kit,two,stem,Cardinal numeral,zwei,_
752,kitit,second,stem,Ordinal numeral,zweiter,_
753,kitiɣl,ask,stem,Verb,fragen,_
754,kitiɣlaxt,_,stem,_,_,_
755,kitiɣlaːw,_,stem,_,_,_
756,kitt,_,stem,_,_,_
757,kittiɣ,_,stem,_,_,_
758,kittəɣ,apart,stem,Adverb,entzwei,M-K 216a
759,kitəɣl,_,stem,_,_,_
760,kiwern,into,stem,Postposition,hinein,_
761,kiwerna,into,stem,Postposition,hinein,_
762,kiwr,_,stem,Substantive,_,_
763,kiwər,_,stem,_,_,_
764,kiwərn,_,stem,Postposition,_,_
765,kiwərna,_,stem,_,_,_
766,kiwərt,in,stem,Postposition,in,_
767,kiːwər,inner part,stem,Substantive,Inneres,_
768,kiːwərn,_,stem,_,_,_
769,kiːwərt,_,stem,_,_,_
770,klumpp,Klumpp,stem,Proper Noun,Klumpp,_
771,kobzʲev,Kobzʲev,stem,Proper Noun,Kobzʲev,_
772,koj,trace ,stem,Verb,folgen,_
773,kojmənt,pursue,stem,Verb,verfolgen,_
774,kol,house,stem,Substantive,Haus,Balandin-Vakhusheva 38;  Munkácsi-Kálmán 234; Kálmán 1963 (ChrVog) 81
775,kol ala,ceiling,phrase,Substantive,Decke,_
776,kol kan,floor,phrase,Substantive,Fußboden,_
777,kol laːkʷ,timberwork,phrase,Substantive,Grundbalken des Hauses,_
778,kolkan,floor,stem,Substantive,Diele,_
779,kolnak,room,stem,Substantive,Zimmer,_
780,kom,moment,stem,Substantive,Augenblick,_
781,komisʲːija,[Ru. commission],stem,Substantive,[Ru. Kommission],_
782,kon,outside,stem,Adverb,draußen,Balandin-Vakhusheva 39; Munkácsi-Kálmán 237; Kálmán 1963 (ChrVog) 81
783,kon kʷal,_,stem,_,_,_
784,kon kʷall,_,stem,_,_,_
785,kon kʷalt,take out,phrase,Verb,hinausbringen,_
786,kon kʷaːl,go out,stem,Verb,hinausgehen,_
787,kon kʷaːlap,go out,phrase,Verb,hinausgehen,_
788,kon leːwat,pull out,phrase,Verb,hervor ziehen,_
789,kon neɣ,tie,phrase,Verb,binden,_
790,kon neːɣlap,come out,phrase,Verb,herauskommen,_
791,kon pat,fall out,phrase,Verb,herausfallen,_
792,kon poriɣm,jump out,phrase,Verb,heraus springen,_
793,kon raɣat,fall out,phrase,Verb,heraus fallen,_
794,kon xajt,rush out,phrase,Verb,heraus rennen,_
795,kon=,out,proclitic,Preverb,heraus; hinaus,Balandin-Vakhusheva 39; Munkácsi-Kálmán 237; Kálmán 1963 (ChrVog) 81
796,kona kʷal,_,phrase,_,_,_
797,kona kʷaːl,go out,phrase,Verb,hinausgehen,_
798,kona neːɣlap,appear,phrase,Verb,auftauchen,_
799,kona=,out,proclitic,Preverb,hinaus,_
800,konalʲ min,go out,phrase,Verb,hinausgehen,_
801,konalʲ patiɣl,fall out,phrase,Verb,fallen,_
802,konalʲ roŋx,shout,phrase,Verb,schreien,_
803,konalʲ=,out,proclitic,Preverb,heraus,B&V 40a
804,konipal,besides,phrase,Postposition,außer,_
805,konn,_,stem,_,_,_
806,konroːŋxuwl,_,stem,Verb,_,_
807,konsiɣt,_,stem,_,_,_
808,konsiɣtaxt,claw,stem,Verb,ankrallen,_
809,konstantʲinovna,Konstantinova,stem,Proper Noun,Konstantinova,_
810,konsəɣt,grab,stem,Verb,ankrallen sich,_
811,konəl sʲalt,enter from outside,phrase,Verb,von draußen eintreten,_
812,konəl=,from outside,proclitic,Preverb,von außen,_
813,kopnit,easy thing,stem,Substantive,leichte Sache,_
814,kos,although,stem,Coordinating conjunction,obwohl,Balandin-Vakhusheva 40;  Munkácsi-Kálmán 196; Kálmán 1963 (ChrVog) 81
815,kosaj,host,stem,Substantive,Hausherr,_
816,kossum,basket,stem,Substantive,Korb,_
817,kosxat,crawl,stem,Verb,krabbeln,_
818,kosʲaj,_,stem,_,_,_
819,kotilʲ,_,stem,_,_,_
820,kotli,middle,stem,Substantive,Mitte,_
821,kotʲl,_,stem,_,_,_
822,kotʲlʲ,_,stem,_,_,_
823,kotʲlʲa,_,stem,_,_,_
824,kotʲəlʲ,middle,stem,Substantive,Mittel,M-K 243 a
825,koːm,_,stem,_,_,_
826,kulʲ,devil,stem,Substantive,Teufel,_
827,kurʲenkova,Kurʲenkova,stem,Proper Noun,Kurʲenkova,_
828,kus,want,stem,Verb,wollen,M-K 225b
829,kusʲən,gift,stem,Substantive,Geschenk,_
830,kusʲən laxt,present with a gift,phrase,Verb,schenken,_
831,kutu,_,stem,_,_,_
832,kutu ojka,_,phrase,_,_,_
833,kutuw,_,stem,_,_,_
834,kutuw ojka,_,phrase,_,_,_
835,kutʲu,_,stem,_,_,_
836,kutʲu ojka,dog,phrase,Substantive,Hund,_
837,kutʲuw,dog,stem,Substantive,Hund,_
838,kuːstir,fast,stem,Adjective,schnell,_
839,kuːsʲaj,(land)lord,stem,Substantive,(Haus)Herr,_
840,kuːsʲəj,_,stem,_,_,_
841,kuːtʲuw,_,stem,_,_,_
842,kwal,_,stem,_,_,_
843,kwalt,take,stem,Verb,bringen,_
844,kwaltt,_,stem,_,_,_
845,kʷal,_,stem,_,_,_
846,kʷall,_,stem,_,_,_
847,kʷalt,_,stem,_,_,_
848,kʷaltap,_,stem,_,_,_
849,kʷaːl,go,stem,Verb,gehen,_
850,kʷaːlap,stand up,stem,Verb,aufstehen,
851,kʷaːliɣ,rope,stem,Substantive,Strick,_
852,kʷaːltap,rouse,stem,Verb,aufscheuchen,"B&V 36a, M&K 230b"
853,kʷons,grasp,stem,Verb,krallen,_
854,lakʷ,belt,stem,Substantive,Riemen,_
855,lakʷ,step,stem,Verb,schreiten,_
856,lakʷant,lag,stem,Verb,fortschreiten,"M&K 248a, B&V 42b"
857,lap,covered,stem,Adjective,_,_
858,lap rat,hit,phrase,Verb,schlagen,_
859,lap reːpiɣt,throw,phrase,Verb,werfen,_
860,lap taɣat,hang,phrase,Verb,aufhängen,_
861,lap tusʲtiɣp,put,phrase,Verb,setzen,_
862,lap xarumt,extinguish,phrase,Verb,erlöschen,_
863,lap=,COMPL,proclitic,Preverb,COMPL,_
864,lapilaxt,betray,stem,Verb,betrügen,M-K 251 a
865,laplaxt,_,stem,_,_,_
866,latkat,crack,stem,Verb,knacken,_
867,latəŋ,word,stem,Substantive,Wort,
868,law,_,stem,_,_,_
869,laxt,move,stem,Verb,bewegen,_
870,laɣl,foot,stem,Substantive,Fuß,_
871,laɣəl,_,stem,_,_,_
872,laːkʷ,circle,stem,Substantive,Kreis,M-K 246 b
873,laːkʷa keːt,send away,phrase,Verb,wegschicken,_
874,laːkʷa soːs,pour,phrase,Verb,gießen,_
875,laːkʷa=,dis-,proclitic,Preverb,zer-,_
876,laːp,accommodate,stem,Verb,hineinpassen,B/V 44b
877,laːsʲal,slow,stem,Adjective,langsam,"M&K 252a, B&V 45a"
878,laːsʲlakʷ,_,stem,_,_,_
879,laːtŋ,_,stem,_,_,_
880,laːtəŋ,_,stem,_,_,_
881,laːw,say,stem,Verb,sagen,Balandin-Vakhusheva 42;  Munkácsi-Kálmán 254; Kálmán 1963 (ChrVog) 82
882,laːw,_,stem,_,_,_
883,laːw,_,stem,_,_,_
884,laːws,promise,stem,Verb,versprechen,_
885,laːwəlt,say,stem,Verb,sagen,_
886,laːɣəl,foot,stem,Substantive,Fuß,_
887,leŋn,_,stem,_,_,_
888,leŋtas,stick,stem,Verb,stecken,_
889,leɣ,_,stem,_,_,_
890,leɣmat,pull out,stem,Verb,hervorziehen,M/K 257b; 
891,leɣən,_,stem,_,_,_
892,leːwat,pull out,stem,Verb,hervorziehen,"B&V 48b, M&K 257b"
893,leːŋn,squirrel,stem,Substantive,Eichhörnchen,M-K 255 b
894,leːŋxən,_,stem,_,_,_
895,leːŋən,squirrel,stem,Substantive,Eichhörnchen,_
896,leːŋɣən,_,stem,_,_,_
897,leːɣ,tail,stem,Substantive,Schwanz,_
898,leːɣmat,_,stem,_,_,_
899,lilaŋ,fresh,stem,Adjective,frisch,_
900,lili,life,stem,Substantive,Leben,_
901,lisʲsʲənt,shoot around,stem,Verb,herumschießen,_
902,lit,_,stem,_,_,_
903,liɣ,throw,stem,Verb,werfen,_
904,liɣ,_,stem,_,_,_
905,lomt,piece,stem,Substantive,Stück,_
906,lonʲxat,slide,stem,Verb,gleiten,_
907,losit,unbind,stem,Verb,aufmachen,_
908,losʲit,wide,stem,Adjective,breit,_
909,lot,value,stem,Substantive,Wert,_
910,low,_,stem,_,_,_
911,low,ten,stem,Cardinal numeral,zehn,_
912,lowinʲt,read,stem,Verb,lesen,_
913,lowt,wash,stem,Verb,waschen,_
914,lox,_,stem,_,_,_
915,loxas,knock,stem,Verb,klopfen,_
916,loŋxat,_,stem,_,_,_
917,loːmt,_,stem,_,_,_
918,loːteː,ember,stem,Substantive,Feuersglut,_
919,loːŋxa,_,stem,_,_,_
920,loːŋxalʲ,downstream,stem,Adverb,stromabwärts,M-K 265b
921,lui,belonging to the lower course,stem,Adjective,zum Flussunterlauf gehörend,_
922,lui sup,lower course,phrase,Substantive,Unterlauf,_
923,lunan,lower course of the river,stem,Substantive,Unterlauf des Flusses,_
924,lunt,_,stem,_,_,_
925,lupta,_,stem,_,_,_
926,lusəm,Lozva,stem,Proper Noun,Loswa,_
927,lut,_,stem,_,_,_
928,lutəŋ,_,stem,_,_,_
929,luw,_,stem,_,_,_
930,luw,bone,stem,Substantive,Knochen,_
931,luːi oːwəl,lower part of the town,phrase,Adverb,unterer Teil des Dorfes,_
932,luːjimaː,North,phrase,Substantive,Norden,_
933,luːjmas,ice pick,stem,Substantive,Eispickel,"B&V 48a, M&K 275b"
934,luːnt,wild goose,stem,Substantive,Wildgans,Balandin-Vakhusheva 48;  Munkácsi-Kálmán 276
935,luːpi,rolled lumber,stem,Substantive,Windbruch,_
936,luːpta,leaf,stem,Substantive,Blatt,M-K 276 b
937,luːt,all the rest,stem,Substantive,und andere Sachen,M-K 278 a Balandin 48 b
938,luːw,horse,stem,Substantive,Pferd,Balandin-Vakhusheva 47;  Munkácsi-Kálmán 272; Kálmán 1963 (ChrVog) 85
939,lʲalʲt,against,stem,Postposition,gegen,
940,lʲapan,close,stem,Adjective,nahe,"M&K 282a, B&V 49b"
941,lʲapat,in proximity to,stem,Postposition,in der Nähe,_
942,lʲapawt,_,stem,_,_,_
943,lʲawt,curse,stem,Verb,fluchen,_
944,lʲaxxal,news,stem,Substantive,Nachricht,"B&V, 50b"
945,lʲaŋkwi,_,stem,_,_,_
946,lʲaŋkʷi,dull axe,stem,Substantive,stumpfe Axt,M&K 283b
947,lʲaŋkʷli,_,stem,_,_,_
948,lʲaɣal,_,stem,_,_,_
949,lʲaːwt,_,stem,_,_,_
950,lʲaːŋkʷi,_,stem,_,_,_
951,lʲaːɣal,say,stem,Verb,aussprechen,Balandin-Vakhusheva 49; 
952,lʲeːxtxat,get stuck,stem,Verb,steckenbleiben,_
953,lʲox,_,stem,_,_,_
954,lʲoxpatta,track,stem,Substantive,Spur,_
955,lʲoŋx,_,stem,_,_,_
956,lʲoːx,_,stem,_,_,_
957,lʲoːŋx,way,stem,Substantive,Weg,_
958,lʲoːŋx jaːs,path,phrase,Substantive,Pfad,_
959,lʲudvʲig-maksʲimʲilʲian,Ludwig-Maximilian,phrase,Proper Noun,Ludwig-Maximilian,_
960,lʲul,_,stem,_,_,_
961,lʲulʲ,_,stem,_,_,_
962,lʲulʲit,high,stem,Adjective,hoch,_
963,lʲulʲmiɣt,stand,stem,Verb,stehen,_
964,lʲunʲsʲ,_,stem,_,_,_
965,lʲuːlʲ,bad,stem,Adjective,schlecht,_
966,lʲuːlʲ,stand,stem,Verb,stehen,_
967,lʲuːlʲaxol,stand,stem,Verb,stehen,Balandin 49a
968,lʲuːlʲsaŋ,badly,stem,Adverb,schlecht,_
969,lʲuːlʲssaŋ,_,stem,_,_,_
970,lʲuːnʲsʲ,_,stem,_,_,_
971,lʲuːsʲ,cry,stem,Verb,weinen,B&V 49; M&K 286b
972,lʲuːsʲ,weeping,stem,Substantive,Weinen,B&V 49; M&K 286b
973,lˡuːlʲ,_,stem,_,_,_
974,ma,_,stem,_,_,_
975,maj,but,stem,Particle,doch,_
976,man,_,stem,_,_,_
977,man,what kind of,stem,Question particle,was für ein,"Balandin&Vahrusheva, 51a"
978,man,or,stem,Coordinating conjunction,oder,"Balandin&Vahrusheva, 51a"
979,man,APP,stem,Approximative numerals,APP,_
980,mana,_,stem,_,_,_
981,manar,doing sth. repeatedly,stem,Verb,wiederholt etwas tun,Engl. und D Übersetzung prüfen; B-V 51b
982,manare,_,stem,_,_,_
983,manariɣ,_,stem,_,_,_
984,manawen,_,stem,_,_,_
985,manawn,1PL.DLAT,stem,Personal pronoun,1PL.DLAT,_
986,manax,how many,stem,Question particle,wieviel,K
987,maniɣt,tear,stem,Verb,zerreißen,_
988,manos,or,stem,Coordinating conjunction,oder,_
989,manreɣ,_,stem,_,_,_
990,manrəɣ,why,stem,Interrogative pronoun,warum,"Munkácsi-Kálmán, 296b;"
991,manurəl,why,stem,Question particle,warum,B-V 52a
992,manǝr,what,stem,Interrogative pronoun,was,"Munkácsi-Kálmán, 296a; Balandin/Vahrusheva, 52a;"
993,manəmt,_,stem,_,_,_
994,manəmt,tear,stem,Verb,reißen,_
995,manəmət,_,stem,_,_,_
996,manəriɣ,_,stem,_,_,_
997,manʲ,daughter in law,stem,Substantive,Schwiegertochter,M-K 298 b
998,manʲ,_,stem,_,_,_
999,manʲsʲi,_,stem,_,_,_
1000,manʲsⁱi,_,stem,_,_,_
1001,mar,narrow,stem,Verb,eng werden,_
1002,marl,press,stem,Verb,drücken,M-K 302a
1003,mas,dress,stem,Verb,anziehen,_
1004,mass,_,stem,_,_,_
1005,masxat,get dressed,stem,Verb,sich anziehen,_
1006,mat,become old,stem,Verb,alt werden,_
1007,mat,some,stem,Indefinite pronoun,irgendein,_
1008,matəm,оld,stem,Adjective,alt,_
1009,matər,something,stem,Indefinite pronoun,etwas,_
1010,matər aːtʲi,something,phrase,Indefinite pronoun,etwas,_
1011,matər maːn,something,phrase,Indefinite pronoun,irgendwas,_
1012,maxm,_,stem,_,_,_
1013,maxum,_,stem,_,_,_
1014,maɣ,stuff,stem,Verb,stopfen,M-K 291b
1015,maɣ,_,stem,_,_,_
1016,maɣl,chest,stem,Substantive,Brust,_
1017,maɣs,_,stem,_,_,_
1018,maɣsəl,_,stem,_,_,_
1019,maɣtal,stick,stem,Verb,stecken,_
1020,maɣəs,_,stem,_,_,_
1021,maʃɨna,[Ru. machine],stem,Substantive,[Ru. Maschine],russ.
1022,maː,land,stem,Substantive,Land,"Munkacsi-Kálmán, 288a; Balandin/Vahrusheva, 50a; "
1023,maːi,_,stem,_,_,_
1024,maːn,1PL,stem,Personal pronoun,1PL,"Munkácsi-Kálmán, 297a;"
1025,maːnaw,1PL.OBL,stem,Personal pronoun,1PL.OBL,_
1026,maːnawn,_,stem,_,_,_
1027,maːnki,1PL,stem,Emphatic personal pronoun,1PL,_
1028,maːnǝr,_,stem,_,_,_
1029,maːnən,_,stem,_,_,_
1030,maːnʲ,young,stem,Adjective,jung,_
1031,maːnʲlat,young,stem,Adjective,jung,_
1032,maːnʲsʲi,Mansi,stem,Proper Noun,Mansi,_
1033,maːnʲut,baby,phrase,Substantive,Säugling,B-V 52b
1034,maːtaːprisʲ,mouse,stem,Substantive,Maus,_
1035,maːtər aːtʲi,_,phrase,_,_,_
1036,maːxm,_,stem,_,_,_
1037,maːxman,people,stem,Substantive,_,_
1038,maːxum,nation,stem,Substantive,Volk,
1039,maːɣsel,_,stem,_,_,_
1040,maːɣsil,because of,stem,Postposition,wegen,_
1041,maːɣssel,_,stem,_,_,_
1042,maːɣəs,for,stem,Postposition,für,
1043,met,fee,stem,Substantive,Lohn,_
1044,met xum,serf,phrase,Substantive,Knecht,M-K 306 b
1045,metalaxt,hire out,stem,Verb,in Dienst treten,_
1046,meŋkʷ,_,stem,_,_,_
